"model","method","se_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","error_design","rho","df_correction","K_smooth"
"np","bam_fd","classic",0.99386,0.190287093541048,1,0.308895183179632,3.18165350228522,11.0988911784253,19,0.584152167285545,0,0,0.985,0.997,0.991,0.996,"hetero_ar1",0.5,"substantive",20
"np","bam_fd","penalty",0.944600000000001,0.128157154294166,0.936999999999998,0.197624292645473,3.0223346435354,11.0988911784253,19,0.584152167285545,0,0,0.925,0.959,0.945,0.952,"hetero_ar1",0.5,"substantive",20
"np","bam_fe","classic",0.99582,0.21578059124799,1,0.350136589635801,3.18035557608101,10.1848401105718,19,0.536044216345883,0,0,0.988,0.992,0.994,0.995,"hetero_ar1",0.5,"substantive",20
"np","bam_fe","penalty",0.9448,0.138735714590226,0.926,0.212018611598344,2.99530655648798,10.1848401105718,19,0.536044216345883,0,0,0.926,0.946,0.926,0.947,"hetero_ar1",0.5,"substantive",20
"np","bam_re","classic",0.99462,0.215828261712984,1,0.350214103079318,3.18035648504783,10.1866711086664,19,0.536140584666652,0,0,0.982,0.991,0.993,0.994,"hetero_ar1",0.5,"substantive",20
"np","bam_re","penalty",0.93622,0.137575746944335,0.907999999999999,0.210376075201861,2.99715114316886,10.1866711086664,19,0.536140584666652,0,0,0.918,0.939,0.922,0.936,"hetero_ar1",0.5,"substantive",20
"pl","bam_fd","classic",0.99384,0.192105135328046,0.997,0.311676362690908,3.17988488375239,11.0769608357627,19,0.582997938724354,0,0,0.98,0.993,0.995,0.995,"hetero_ar1",0.5,"substantive",20
"pl","bam_fd","penalty",0.94304,0.129439659539686,0.931000000000002,0.1993190530151,3.018037481683,11.0769608357627,19,0.582997938724354,0,0,0.927,0.938,0.943,0.948,"hetero_ar1",0.5,"substantive",20
"pl","bam_fe","classic",0.99552,0.215584130636006,1,0.349738522263267,3.17968500210117,10.179109412061,19,0.53574260063479,0,0,0.99,0.994,0.996,0.996,"hetero_ar1",0.5,"substantive",20
"pl","bam_fe","penalty",0.94556,0.138742710079062,0.923999999999998,0.21167251355506,2.99027550781807,10.179109412061,19,0.53574260063479,0,0,0.935,0.946,0.94,0.946,"hetero_ar1",0.5,"substantive",20
"pl","bam_re","classic",0.9952,0.215637725838252,1,0.34981899768336,3.1796268747927,10.1801659399506,19,0.535798207365822,0,0,0.987,0.994,0.996,0.996,"hetero_ar1",0.5,"substantive",20
"pl","bam_re","penalty",0.937239999999999,0.137635945526007,0.914000000000001,0.210131759586033,2.9923714271752,10.1801659399506,19,0.535798207365822,0,0,0.917,0.938,0.94,0.937,"hetero_ar1",0.5,"substantive",20
