"model","method","vcov_type","x","point_coverage","mean_estimate","mean_reported_se","empirical_sd","truth","bias","se_to_sd","abs_bias","error_design","rho","df_correction","M","n","T","K","dgp"
"np","bam_fd","classic_cluster",0.05,0.997,0.306921511643777,0.0932519624582677,0.0577203143865201,0.309016994374947,-0.00209548273117072,1.61558306550121,0.00209548273117072,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.0683673469387755,0.993,0.412014796177264,0.0864430097237315,0.0569203740056603,0.416475099043599,-0.00446030286633481,1.51866552590001,0.00446030286633481,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.086734693877551,0.992,0.513080804134952,0.0766780285914574,0.0557713735843507,0.518392568310525,-0.00531176417557278,1.37486354851,0.00531176417557278,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.105102040816327,0.997,0.608178834588861,0.0790875070319331,0.0536692145531795,0.613413528704367,-0.00523469411550603,1.47361029391565,0.00523469411550603,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.123469387755102,0.999,0.695486634464038,0.0796821553566035,0.0511598650534972,0.700273855435255,-0.00478722097121675,1.55751300894326,0.00478722097121675,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.141836734693878,0.997,0.773529082672975,0.07389595819898,0.0488186479174296,0.777817989857797,-0.00428890718482233,1.51368301563709,0.00428890718482233,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.160204081632653,0.997,0.841231353868088,0.0734310868677736,0.0469043808879674,0.845014312609001,-0.00378295874091361,1.56554857942089,0.00378295874091361,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.178571428571429,0.998,0.897813166216522,0.073890524170745,0.0454967305989639,0.900968867902419,-0.00315570168589707,1.62408426271464,0.00315570168589707,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.196938775510204,0.998,0.942601628200255,0.070007660334059,0.0445639752636946,0.944937256395429,-0.00233562819517397,1.57094738339227,0.00233562819517397,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.21530612244898,0.997,0.974912178841447,0.0696112769907387,0.0439088032212685,0.976334538411204,-0.00142235956975723,1.58536038069515,0.00142235956975723,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.233673469387755,0.997,0.99414490490546,0.0694929443848629,0.0432693623520286,0.994743015766457,-0.000598110860997925,1.60605427506617,0.000598110860997925,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.252040816326531,0.997,0.999931276676263,0.0665359463055075,0.0425609609184863,0.999917788678319,1.34879979435398e-05,1.56330930668926,1.34879979435398e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.270408163265306,0.997,0.992220292719451,0.0665651047962294,0.0418696758574356,0.991790013823246,0.000430278896205172,1.5898165780619,0.000430278896205172,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.288775510204082,0.997,0.971202542256336,0.065720558042794,0.041207560021997,0.970467820203915,0.000734722052420644,1.59486652467925,0.000734722052420644,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.307142857142857,0.995,0.937169149458747,0.0636258160707572,0.0405138796237067,0.936234870639737,0.000934278819009315,1.57046959367294,0.000934278819009315,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.325510204081633,0.997,0.890474988427675,0.0641868401102371,0.0398375202927743,0.889546588018412,0.000928400409263119,1.61121574933667,0.000928400409263119,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
